Sigla,Código,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
AL,2705903,Olho d'Água Grande,,,,,,,,,,,,,,,16.9666472279,3.4289604244,7.6126092813,4.8953458836,4.6848313772,4.4949529294,5.27712900748997,19.605906148359,16.3384276731299,14.3102160743096,1.96951421683403,
AL,2706000,Olivença,,,,,,11.5074182081,1.3471665229,3.7970087303,3.4905858143,3.2527001501,2,1.8464050899,,2.3866918421,2.2130409428,,,,,,,,,,,
AL,2706109,Ouro Branco,,,,,,,,,,4.3369335334,4,4.6160127247,,,,,,,,,,,,,,
AL,2706208,Palestina,,,,,,11.5074182081,2.6943330459,3.7970087303,5.8176430239,5.4211669168,13,16.6176458088,5.131605343,22.2757905258,1.4753606285,,,9.1787735317,22.2529490419,22.4747646471,11.6096838164779,14.0042186773993,28.3772691164889,9.81271959381228,11.8170853010042,
AL,2706307,Palmeira dos Índios,6.7723530626,8.3435400454,7.5989831478,6.6604567529,4.6359601195,5.7537091041,26.9433304583,25.3133915357,24.4341007003,22.7689010506,33,28.6192788929,17.9606187006,23.0713544732,24.3434503704,24.0027229711,13.3220662422,33.043584714,40.9922745508,56.1869116177,60.6869835861347,70.487900676243,42.5659036747333,40.4774683244756,48.4500497341171,
AL,2706406,Pão de Açúcar,,,,141.5347060014,118.9896430674,284.8086006522,149.535484044,72.1431658768,59.3399588437,62.8855362349,69,96.0130646731,24.802759158,93.8765457873,56.0637038834,19.2021783769,16.4939867761,45.8938676583,9.9552666766,12.9229896721,28.4964966404458,27.0748227763052,19.3481380339697,269.849788829838,110.292796142706,
AL,2706422,Pariconha,,,,1.6651141883,,2.876854552,2.6943330459,2.5313391537,2.3270572096,2.1684667667,5,4.6160127247,2.5658026715,9.5467673682,11.8028850281,7.5437129338,3.1719205339,4.2834276481,4.6848313772,7.3042985103,8.97111931273295,23.3403644623321,32.2468967232828,18.8077125548069,24.8158791321088,
AL,2706448,Paripueira,,,,,,,,1.2656695768,1.1635286048,1.0842333834,,,,,,5.4863366791,,,,,,,,,,
AL,2706505,Passo de Camaragibe,,,,,7.7266001992,7.1921363802,6.7358326145,5.0626783071,,,,,,,,,,1.2238364709,2.3424156886,2.2474764647,2.11085160299599,3.73445831397314,4.29958622977104,3.27090653127076,5.51463980713528,
AL,2706604,Paulo Jacinto,,,,8.3255709412,6.1812801594,5.7537091041,,,1.1635286048,2.1684667667,3,1.8464050899,2.5658026715,3.9778197368,2.950721257,3.4289604244,5.0750728542,2.4476729418,2.9280196108,3.3712146971,4.22170320599198,5.60168747095971,3.43966898381683,1.22658994922653,1.96951421683403,
